epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,169.067,0.68878,0.65699,1.21651,0.91977,0.92308,0.95638,0.7551,0.81091,0.82738,1.29455,0.0005546,0.0005546,0.0005546
148,170.213,0.5247,0.43211,1.06708,0.91783,0.86009,0.94104,0.72632,0.83545,0.8755,1.3302,0.0005447,0.0005447,0.0005447
149,171.355,0.60692,0.49515,0.9847,0.91783,0.86009,0.94104,0.72632,0.83545,0.8755,1.3302,0.0005348,0.0005348,0.0005348
150,172.501,0.82305,0.66918,1.32749,0.91217,0.76923,0.89571,0.71748,0.8147,0.98342,1.32505,0.0005249,0.0005249,0.0005249
151,173.634,0.78855,0.50213,1.23778,0.91217,0.76923,0.89571,0.71748,0.8147,0.98342,1.32505,0.000515,0.000515,0.000515
152,174.745,0.69069,0.55112,1.13613,0.81525,0.84615,0.86037,0.70646,0.7528,0.96224,1.28062,0.0005051,0.0005051,0.0005051
153,175.849,0.54068,0.57292,1.12745,0.81525,0.84615,0.86037,0.70646,0.7528,0.96224,1.28062,0.0004952,0.0004952,0.0004952
154,177.004,0.79846,0.62704,1.28709,0.79712,0.90758,0.89536,0.74569,0.74888,0.84997,1.30493,0.0004853,0.0004853,0.0004853
155,178.164,0.67587,0.5847,1.04144,0.79712,0.90758,0.89536,0.74569,0.74888,0.84997,1.30493,0.0004754,0.0004754,0.0004754
156,179.278,0.82617,0.6808,1.36284,0.89339,0.92308,0.92516,0.74378,0.80816,0.69203,1.37337,0.0004655,0.0004655,0.0004655
157,180.37,0.88773,0.64021,1.30543,0.89339,0.92308,0.92516,0.74378,0.80816,0.69203,1.37337,0.0004556,0.0004556,0.0004556
158,181.498,0.70889,0.5606,1.07341,0.99332,0.92308,0.95028,0.74657,0.80638,0.53387,1.34991,0.0004457,0.0004457,0.0004457
159,182.788,0.64825,0.51474,1.08528,0.99332,0.92308,0.95028,0.74657,0.80638,0.53387,1.34991,0.0004358,0.0004358,0.0004358
160,183.889,0.74532,0.56467,1.31162,0.992,0.92308,0.9587,0.77619,0.73755,0.54033,1.25852,0.0004259,0.0004259,0.0004259
161,185.009,0.73428,0.47646,1.27983,0.992,0.92308,0.9587,0.77619,0.73755,0.54033,1.25852,0.000416,0.000416,0.000416
162,186.122,0.80308,0.65679,1.1381,0.9907,0.92308,0.9432,0.77481,0.6945,0.57002,1.20036,0.0004061,0.0004061,0.0004061
163,187.247,0.70454,0.6141,1.15274,0.9907,0.92308,0.9432,0.77481,0.6945,0.57002,1.20036,0.0003962,0.0003962,0.0003962
164,188.356,0.75794,0.60405,1.2204,0.99346,0.92308,0.93222,0.79545,0.67733,0.56112,1.18583,0.0003863,0.0003863,0.0003863
165,189.553,0.77928,0.53533,1.10281,0.99346,0.92308,0.93222,0.79545,0.67733,0.56112,1.18583,0.0003764,0.0003764,0.0003764
166,190.754,0.57489,0.56157,1.16918,0.99617,0.92308,0.92962,0.81029,0.63989,0.57021,1.1711,0.0003665,0.0003665,0.0003665
167,191.929,0.80093,0.79798,1.26955,0.99617,0.92308,0.92962,0.81029,0.63989,0.57021,1.1711,0.0003566,0.0003566,0.0003566
168,193.126,0.87104,0.70258,1.27359,0.9949,0.92308,0.92987,0.81819,0.61257,0.56921,1.14674,0.0003467,0.0003467,0.0003467
169,194.303,0.55413,0.58427,1.11836,0.9949,0.92308,0.92987,0.81819,0.61257,0.56921,1.14674,0.0003368,0.0003368,0.0003368
170,195.486,0.82447,0.53461,1.36027,0.99466,0.92308,0.92735,0.81827,0.60351,0.53254,1.135,0.0003269,0.0003269,0.0003269
171,196.591,0.54616,0.54083,1.19847,0.99466,0.92308,0.92735,0.81827,0.60351,0.53254,1.135,0.000317,0.000317,0.000317
172,197.712,0.72614,0.71431,1.17003,0.99212,0.92308,0.92776,0.82251,0.63843,0.56189,1.13987,0.0003071,0.0003071,0.0003071
173,198.89,0.69888,0.56659,1.11223,0.99212,0.92308,0.92776,0.82251,0.63843,0.56189,1.13987,0.0002972,0.0002972,0.0002972
174,200.087,0.65683,0.63558,1.09708,0.99126,0.92308,0.92793,0.80644,0.67455,0.58084,1.1609,0.0002873,0.0002873,0.0002873
175,201.206,0.66676,0.48006,1.07,0.99126,0.92308,0.92793,0.80644,0.67455,0.58084,1.1609,0.0002774,0.0002774,0.0002774
176,202.327,0.48142,0.45301,1.0935,0.9916,0.92308,0.92795,0.80465,0.69605,0.58642,1.1865,0.0002675,0.0002675,0.0002675
177,203.436,0.82234,0.55504,1.42419,0.9916,0.92308,0.92795,0.80465,0.69605,0.58642,1.1865,0.0002576,0.0002576,0.0002576
178,204.562,0.94601,0.84186,1.27378,1,0.92206,0.92755,0.79737,0.69532,0.60235,1.18233,0.0002477,0.0002477,0.0002477
179,205.688,0.48777,0.38559,0.96245,1,0.92206,0.92755,0.79737,0.69532,0.60235,1.18233,0.0002378,0.0002378,0.0002378
180,206.812,0.47481,0.36431,0.93221,0.89258,0.92308,0.92153,0.78616,0.66704,0.62892,1.17108,0.0002279,0.0002279,0.0002279
181,207.929,0.67328,0.5806,1.04196,0.89258,0.92308,0.92153,0.78616,0.66704,0.62892,1.17108,0.000218,0.000218,0.000218
182,209.059,0.6331,0.45485,1.04936,0.91753,0.92308,0.92159,0.79565,0.64109,0.63841,1.15756,0.0002081,0.0002081,0.0002081
183,210.158,0.66749,0.57908,1.14585,0.91753,0.92308,0.92159,0.79565,0.64109,0.63841,1.15756,0.0001982,0.0001982,0.0001982
184,211.268,0.91685,0.74354,1.37798,0.91712,0.92308,0.92165,0.79501,0.63384,0.61711,1.15398,0.0001883,0.0001883,0.0001883
185,212.375,1.13434,0.93708,1.44593,0.91712,0.92308,0.92165,0.79501,0.63384,0.61711,1.15398,0.0001784,0.0001784,0.0001784
186,213.487,0.44758,0.37698,1.00965,0.91713,0.92308,0.92156,0.80032,0.62864,0.62305,1.14342,0.0001685,0.0001685,0.0001685
187,214.593,0.47887,0.43618,0.93293,0.91713,0.92308,0.92156,0.80032,0.62864,0.62305,1.14342,0.0001586,0.0001586,0.0001586
188,215.717,0.52226,0.48097,1.07682,0.91692,0.92308,0.92166,0.82467,0.62513,0.62457,1.13745,0.0001487,0.0001487,0.0001487
189,216.905,0.4489,0.40262,1.02226,0.91692,0.92308,0.92166,0.82467,0.62513,0.62457,1.13745,0.0001388,0.0001388,0.0001388
190,218.086,0.49498,0.39128,1.12056,1,0.91193,0.92782,0.82775,0.6149,0.62334,1.12325,0.0001289,0.0001289,0.0001289
191,220.329,0.36616,0.39412,0.92136,1,0.91193,0.92782,0.82775,0.6149,0.62334,1.12325,0.000119,0.000119,0.000119
192,221.578,0.46792,0.40383,0.93265,1,0.91769,0.92787,0.83848,0.6115,0.60058,1.1166,0.0001091,0.0001091,0.0001091
193,222.757,0.43648,0.43017,1.11033,1,0.91769,0.92787,0.83848,0.6115,0.60058,1.1166,9.92e-05,9.92e-05,9.92e-05
194,223.949,0.55168,0.40772,1.41082,1,0.92092,0.92775,0.83827,0.60929,0.59246,1.11756,8.93e-05,8.93e-05,8.93e-05
195,225.042,0.37635,0.4485,1.01549,1,0.92092,0.92775,0.83827,0.60929,0.59246,1.11756,7.94e-05,7.94e-05,7.94e-05
196,226.151,0.77429,0.52548,1.22392,1,0.91564,0.92793,0.83858,0.60168,0.58675,1.11379,6.95e-05,6.95e-05,6.95e-05
197,227.36,0.35094,0.42851,0.93714,1,0.91564,0.92793,0.83858,0.60168,0.58675,1.11379,5.96e-05,5.96e-05,5.96e-05
