# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
16 0.3992211786597575 0.8550086203382427 0.16820485187459436 -0.28511372724345385 488.3718165868155 166.8283197736291 422.5678597983305 2 devide/right/frame_007_right.png

17 0.39222188508364125 0.8564559549786173 0.16704957216499922 -0.2911007222295926 427.4239413122629 189.1116138393132 458.4091023074186 1 devide/left/frame_008_left.png

18 0.40126894622407927 0.8542532473694282 0.16906864770466704 -0.2839901662352395 474.61454439906424 195.16903272987352 423.1096783381592 2 devide/right/frame_008_right.png

19 0.40674371520884134 0.8355334901069406 0.20643662943083851 -0.30631234888110304 399.4275209730053 236.0107341170549 448.9648092319519 1 devide/left/frame_009_left.png

20 0.4154367197482304 0.833384323676494 0.20874919042361798 -0.29884222665578425 443.7307485524341 244.45426051622727 410.55093720809725 2 devide/right/frame_009_right.png

21 0.41116962442962196 0.807059856948531 0.25648706259526205 -0.3373548783845796 383.278399392239 262.8090756935325 439.1500436525677 1 devide/left/frame_010_left.png

22 0.41943305735497954 0.8051799689534888 0.25923416925401654 -0.3294825844943755 422.4551978770716 273.7809640968074 396.0862444562803 2 devide/right/frame_010_right.png

23 0.42205814126318697 0.7868326446997727 0.2841063756973437 -0.3493492262999087 364.9187466995707 291.3402388137815 432.25046135781264 1 devide/left/frame_011_left.png

24 0.43001995116208747 0.7849896445101197 0.2870948836500952 -0.34124862988204085 401.27860183947286 303.3345003671543 387.04212916265334 2 devide/right/frame_011_right.png

25 0.4499976386143507 0.7811441048884916 0.29228719265115116 -0.31919306015572174 307.19419472875035 315.15047251029057 441.42929839783403 1 devide/left/frame_012_left.png

26 0.457759413851618 0.7788958598032464 0.295112912398007 -0.3109436083079229 345.117262702944 328.26376940426366 397.84516096380344 2 devide/right/frame_012_right.png

27 0.449652683749007 0.7522096558077516 0.3306888790620406 -0.3501970344985671 291.5497409263806 335.3097029163232 428.13119716852935 1 devide/left/frame_013_left.png

28 0.45703539965006085 0.7502413630766824 0.33392853674609285 -0.34168446400467806 324.17655180267207 349.2755514990811 380.6955464269252 2 devide/right/frame_013_right.png

29 0.45038129197093313 0.723409845693171 0.36406488338930965 -0.3758878126243308 282.9525057329704 341.52121133256804 418.5846508054883 1 devide/left/frame_014_left.png

30 0.4573923711467903 0.7216685041224561 0.3676682705347221 -0.3671604987146356 310.58997731211883 355.885534093831 368.190890554885 2 devide/right/frame_014_right.png

31 0.44698698066634707 0.7210235161398307 0.3682512388204372 -0.3804191811611911 268.09740789233973 356.235279350616 411.6654301377788 1 devide/left/frame_015_left.png

32 0.45396878042931355 0.7193529541466906 0.3718932842746293 -0.37167063223690494 294.9800896676003 370.7632138831107 360.91156117527623 2 devide/right/frame_015_right.png

33 0.4622504381667859 0.7111011448154273 0.3721092434149923 -0.37708673434890977 238.54186658850392 387.7881789298103 397.39687467237565 1 devide/left/frame_016_left.png

34 0.46909875935625234 0.7092697972807523 0.37582157923619053 -0.36829451423576914 265.2900555166896 401.755771125775 346.41515801647466 2 devide/right/frame_016_right.png

35 0.4777968240101769 0.66506431567481 0.4094090168089679 -0.4022237038481186 210.2640089661984 399.1552288976689 371.6689358795236 1 devide/left/frame_017_left.png

36 0.48407300617152305 0.6633176400309608 0.4136064478391065 -0.3932082646966334 231.08269105708095 412.0244205302577 317.71839317052263 2 devide/right/frame_017_right.png

37 0.4478146829095091 0.6366659365230638 0.44564153776038234 -0.4421788267934451 207.82440055130357 408.9296233446938 371.0360347215303 1 devide/left/frame_018_left.png

38 0.4537594927778625 0.6355421637356772 0.4502040985840943 -0.4330181872002996 221.06496873762444 422.4610816491874 314.89975709172666 2 devide/right/frame_018_right.png

39 0.2760935729079929 -0.05178058676927121 0.7874894118057004 -0.5485904994863116 -491.02868656762325 32.52974682670349 361.9194439748551 1 devide/left/frame_019_left.png

